genotype,program,path_bearing,not_selected,diff,p,n_path
C9-ALS,myeloid,0.266213465072586,0.33410563858607356,-0.06789217351348759,6.908278526006116e-12,1042
C9-ALS,complement,0.24614907130251173,0.2838673539544699,-0.037718282651958146,0.0003616107883590667,1042
C9-ALS,DAM,0.8135215363680046,0.7682237666994188,0.045297769668585786,0.00044991767684158596,1042
C9-ALS,NFkB_TNF,-0.026393545931395743,0.04639446315367733,-0.07278800908507307,5.9100520859127045e-59,1042
sALS,myeloid,0.40085162136062275,0.28510145209640125,0.11575016926422149,8.02882215796356e-20,738
sALS,complement,0.3703780916206624,0.18489345758262615,0.18548463403803622,2.709874269843094e-40,738
sALS,DAM,0.8305226928301052,0.6804305667783624,0.1500921260517427,3.680839040408271e-24,738
sALS,NFkB_TNF,-0.034983225441197696,0.0002326243103494044,-0.0352158497515471,1.278685607799775e-17,738
