celltype,C9-ALS_mean,sALS_mean,diff,p
Endothelial,2.7605987730519845,1.6536686704547683,1.1069301025972162,0.1111111111111111
OPC,1.1025020507423313,1.3911639587238507,-0.28866190798151936,0.1111111111111111
Macrophages,4.508314767040235,3.553861278040381,0.9544534889998544,0.19047619047619047
Meninges,10.320026201545238,6.390932160218249,3.929094041326989,0.2857142857142857
Schwann,3.8002418334991566,5.264794043550696,-1.4645522100515391,0.2857142857142857
Ependymal.Cells,1.7790478303232737,2.3263548000806993,-0.5473069697574255,0.2857142857142857
Microglia,2.367250867329053,2.769270476048937,-0.40201960871988396,0.4126984126984127
Pericytes,2.914290863497748,2.1040953137984975,0.8101955496992503,0.4126984126984127
Neurons,1.0743157108327328,1.7809317401800324,-0.7066160293472996,0.5555555555555556
ProliferatingMicroglia,3.4641667224596864,3.6051931926667686,-0.14102647020708226,0.7301587301587302
Astrocytes,27.649947633125233,29.92911566046198,-2.2791680273367483,0.9047619047619049
Lymphocytes,1.7023096482795432,1.6198452125869054,0.08246443569263784,0.9047619047619049
Oligodendrocytes,36.55698709827378,37.61077349318822,-1.0537863949144395,0.9047619047619049
