condition,Astrocytes,Endothelial,Ependymal.Cells,Lymphocytes,Macrophages,Meninges,Microglia,Neurons,OPC,Oligodendrocytes,Pericytes,ProliferatingMicroglia,Schwann
control,22.702685361189467,2.9452989200513504,2.4538305405631764,1.6302577973540033,3.175640179215315,17.140136133264534,1.7067487628582156,4.032260786136754,1.0433204035052681,33.9212487235782,3.0745291983003433,2.2161966966305666,3.9578464973528042
sALS,29.929115660461985,1.6536686704547683,2.3263548000806993,1.6198452125869054,3.553861278040381,6.390932160218249,2.769270476048937,1.7809317401800329,1.3911639587238507,37.610773493188226,2.104095313798498,3.6051931926667686,5.264794043550696
C9-ALS,27.649947633125233,2.7605987730519845,1.7790478303232737,1.7023096482795435,4.508314767040235,10.320026201545238,2.3672508673290533,1.0743157108327328,1.1025020507423313,36.55698709827378,2.914290863497748,3.4641667224596864,3.8002418334991566
