tdp_grade,sc_myeloid,sc_complement,sc_DAM,sc_NFkB_TNF
Not_selected,0.30581397205360045,0.22672659370203951,0.7175379760780657,0.019743773801729047
TDP43_distant,0.35343792062344603,0.33525797704238486,0.8490348666253321,-0.030031329420017745
TDP43_adjacent,0.2805572391715269,0.2572481397813155,0.768446517134622,-0.02867930456984821
Ring,0.30188662591204557,0.263046485351847,0.8187490790248584,-0.03123536922281558
