celltype,ALS_mean,Control_mean,diff,p
Microglia,2.5905950943956553,1.7067487628582156,0.8838463315374396,0.0014784647972275091
Neurons,1.466880171581233,4.032260786136754,-2.565380614555521,0.003568628436933387
Astrocytes,28.91615209275676,22.702685361189467,6.213466731567294,0.004718198728115028
ProliferatingMicroglia,3.5425147614636208,2.2161966966305666,1.3263180648330541,0.010444271101370226
Meninges,8.137196178585798,17.140136133264534,-9.002939954678736,0.021684111364991994
Macrophages,3.9780628287069835,3.175640179215315,0.8024226494916684,0.04226010608395664
Pericytes,2.464182224775942,3.0745291983003433,-0.6103469735244014,0.06368977513662868
Endothelial,2.14563760494242,2.9452989200513504,-0.7996613151089305,0.07738861114200664
OPC,1.262869777398731,1.0433204035052681,0.21954937389346285,0.25099827044292256
Ependymal.Cells,2.083107257966288,2.4538305405631764,-0.37072328259688847,0.25099827044292256
Oligodendrocytes,37.142423984337356,33.9212487235782,3.2211752607591535,0.5962416305866567
Lymphocytes,1.6564960728947444,1.6302577973540033,0.026238275540741096,0.6588432549492806
Schwann,4.613881950194457,3.9578464973528042,0.6560354528416523,0.7910815129207817
