marker,ALS_mean,Control_mean,diff,p,n1,n2
CD68,2.0564800432597337,1.494590496899142,0.5618895463605917,0.013418657920497472,9,9
ITGAX,1.6765986399668682,1.1613317257666558,0.5152669142002124,0.0272753837615853,9,9
HLA-DRA,0.977566083387545,0.4035060556026511,0.574060027784894,0.11196135426374831,9,9
ITGAM,1.4144277650574477,1.34926204520752,0.0651657198499278,0.331387096247615,9,9
PTPRC,0.40758086733977716,0.3421902904531144,0.06539057688666278,0.331387096247615,9,9
CD163,2.155013947569001,2.1535793578293245,0.0014345897396763618,0.859819205054158,9,9
CD14,1.6297594037720342,1.6172910328611432,0.012468370910891036,0.9296365245070707,9,9
