marker,C9-ALS_mean,sALS_mean,diff,p,n1,n2
CD68,2.4525126841256486,1.8240528061648238,0.6284598779608248,0.2,2,3
CD163,2.33917838893115,2.178090335382466,0.16108805354868405,0.4,2,3
ITGAM,1.9410935083842096,1.4161738690414667,0.5249196393427429,0.4,2,3
CD14,1.5874197492999365,1.4220321314461042,0.16538761785383227,0.4,2,3
HLA-DRA,1.3172322447760623,0.7565440804768633,0.560688164299199,0.8,2,3
ITGAX,2.0010347814730745,2.205091547336672,-0.20405676586359744,1.0,2,3
PTPRC,0.5090144516548215,0.5617999741401029,-0.052785522485281344,1.0,2,3
