Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,contrast,scope,lib
prerank,Glycogen Synthesis R-HSA-3322077,0.7637017170070749,1.7870165827884097,0.0019342359767891,0.0960910371777056,0.604,6/12,10.30%,GYG2;UGP2;GYS1;UBC;PPP1R3C;UBB,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Late SARS-CoV-2 Infection Events R-HSA-9772573,0.5589145384621672,1.7828399671874102,0.0,0.0942658442927659,0.62,23/52,18.74%,CANX;MAN2A1;MAGT1;MGAT4B;DDOST;UBC;ZDHHC3;MGAT5;ST6GALNAC3;PRKCSH;PARP6;UBB;PARP8;GANAB;ST3GAL1;PARP4;CSNK1A1;GOLGA7;SRPK2;SRPK1;MGAT4A;PRMT1;PARP14,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,PERK Regulates Gene Expression R-HSA-381042,0.6012314389232067,1.781889502384415,0.001841620626151,0.0895149745775553,0.623,12/30,14.81%,HSPA5;ATF4;PARN;CEBPG;ATF6;CCL2;HERPUD1;EXOSC8;ATF3;EXOSC9;NFYA;EIF2S1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Hyaluronan Metabolism R-HSA-2142845,0.7455500554916318,1.7700909726775862,0.0,0.0992172326034673,0.674,4/14,1.29%,CEMIP;LYVE1;HYAL2;CHORDC1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,MAP3K8 (TPL2)-dependent MAPK1/3 Activation R-HSA-5684264,0.7344316461713315,1.769857831031234,0.0018552875695732,0.0941226919096334,0.675,7/14,12.33%,MAP3K8;CUL1;UBC;MAP2K1;MAP2K4;UBB;TNIP2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183,0.8242260481378321,1.7698069114796289,0.0,0.0892253735393103,0.676,6/9,16.35%,HSPA5;ATF4;ATF6;HSP90B1;NFYA;CALR,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,-0.6926067422360628,-1.7681831771164052,0.002092050209205,0.6307101740613031,0.749,8/16,17.79%,SLC18A3;CPLX1;RAB3A;SH2D3C;TSPOAP1;PPFIA2;SNAP25;SLC5A7,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Collagen Chain Trimerization R-HSA-8948216,-0.5493469395101686,-1.7678270528542908,0.0066518847006651,0.4753123058739098,0.751,9/39,6.43%,COL9A2;COL9A1;COL28A1;COL3A1;COL25A1;COL11A2;COL9A3;COL4A5;COL4A6,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Non-integrin membrane-ECM Interactions R-HSA-3000171,-0.550858505775546,-1.7583630954565272,0.0022172949002217,0.4276670915201222,0.793,9/38,7.43%,DDR1;SDC3;AGRN;LMNB2;NRXN1;PRKCA;DAG1;ITGB5;ITGB4,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",0.665801209085919,1.7546129997850524,0.0018796992481203,0.1030697158554161,0.745,8/21,12.70%,CANX;HSPA5;B2M;PDIA3;SAR1B;SEC24A;SEC23A;SEC24D,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Interleukin-7 Signaling R-HSA-1266695,0.6151438969979628,1.739072862433753,0.003690036900369,0.1220374066204753,0.806,9/22,21.48%,CISH;STAT5B;SOCS2;TSLP;STAT3;SOS1;JAK3;STAT5A;IL7R,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,N-glycan Antennae Elongation In medial/trans-Golgi R-HSA-975576,0.6339666076710206,1.7314552146763589,0.0036429872495446,0.1295691740511978,0.848,10/22,18.11%,MAN2A1;MGAT4B;MGAT5;MAN2A2;B4GALT4;B4GALT5;B4GALT3;CHST10;MGAT4A;ST8SIA6,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Regulated Necrosis R-HSA-5218859,0.5324936653342051,1.7273239311751385,0.0,0.1300975081925021,0.858,18/52,16.21%,PELI1;CHMP2B;SDCBP;MLKL;PDCD6IP;RIPK1;BIRC3;TANK;UBC;OGT;HSP90AA1;UBB;CASP3;IL1B;XIAP;IL18;GSDMD;BIRC2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Transport Of Nucleosides And Free Purine And Pyrimidine Bases Across Plasma Membrane R-HSA-83936,-0.7756573071422985,-1.7125802018335166,0.0118577075098814,0.6115609013066708,0.927,3/9,11.37%,SLC25A6;ARL2;SLC29A3,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Keratan Sulfate Degradation R-HSA-2022857,0.7547456463516864,1.7105405733357455,0.0036764705882352,0.1552756005790578,0.904,3/11,11.43%,OMD;PRELP;FMOD,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207,0.7307828253436128,1.6887140698752994,0.0134099616858237,0.1942434686725195,0.958,2/11,3.89%,ATM;CASP10,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,HS-GAG Degradation R-HSA-2024096,-0.6105059054898552,-1.684913858528339,0.0111856823266219,0.7074809546286274,0.968,8/21,17.60%,SDC3;AGRN;GPC2;IDS;SDC4;NAGLU;GUSB;GPC1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Impaired BRCA2 Binding To RAD51 R-HSA-9709570,0.5709515801992773,1.6811334421975026,0.0037174721189591,0.2041573217905357,0.969,14/34,17.54%,ATM;RMI2;BARD1;HUS1;RAD50;KAT5;RMI1;DNA2;MRE11;POLR1A;RFC4;RPA3;WRN;RFC2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,Neurotransmitter Release Cycle R-HSA-112310,-0.5065166759346952,-1.6805882308837896,0.0042643923240938,0.6493655171615502,0.973,15/48,13.83%,SLC6A11;SLC18A3;NAAA;GAD1;CPLX1;RAB3A;ABAT;SLC32A1;SH2D3C;LIN7B;SYN1;DNAJC5;SLC6A1;TSPOAP1;PPFIA2,C9ALS_vs_sALS,ventral_horn_MN,Reactome
prerank,SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214,0.4820856872187699,1.6624786992576337,0.0,0.2433192867744178,0.985,34/72,23.56%,NSMCE2;PIAS1;NUP58;RAD21;SMC1A;NUP42;XPC;SMC5;NUP43;STAG2;SMC6;PIAS2;SMC3;PML;NUP155;RNF2;SEH1L;POLR1A;PHC3;SP100;NUP214;TDG;WRN;NUP35;NDC1;NSMCE3;NUP85;CETN2;NUP88;RNF168;NUP133;NUP205;NUP98;PHC1,C9ALS_vs_sALS,ventral_horn_MN,Reactome
