celltype,mean_C9,mean_sALS,diff,p,p_fdr
other,0.019244249284774428,0.013418002387152744,0.005826246897621684,0.11784005468215993,0.8683526999316473
CD8 T,0.2502913761418666,0.1798903213641706,0.07040105477769598,0.3863294600136705,0.8683526999316473
other T,0.03876018520985766,0.0464333657600738,-0.007673180550216138,0.3863294600136705,0.8683526999316473
NK,0.13161284871538098,0.16236214133382174,-0.030749292618440754,0.43417634996582366,0.8683526999316473
CD4 T,0.3449122435786848,0.3676776832099756,-0.02276543963129085,0.7119617224880384,1.0
B,0.08696114075613831,0.08433174785590362,0.0026293929002346866,0.9022556390977444,1.0
Mono,0.12066822909426876,0.137279524007792,-0.016611294913523242,0.9022556390977444,1.0
DC,0.007549727219028557,0.008607214081109812,-0.0010574868620812552,1.0,1.0
