marker,C9-ALS_mean,sALS_mean,diff,p,n1,n2
PTPRC,0.2150379472757482,0.5616152033910004,-0.34657725611525214,0.031746031746031744,4,5
HLA-DRA,1.213167224752414,0.7890851702956498,0.42408205445676406,0.4126984126984127,4,5
CD68,2.1652067149394902,1.9694987059159281,0.1957080090235621,0.7301587301587302,4,5
CD14,1.5832470724242411,1.6669692688502682,-0.08372219642602707,0.7301587301587302,4,5
CD163,2.156755083033747,2.1536210391972035,0.0031340438365434764,0.9047619047619049,4,5
ITGAM,1.4111014052018833,1.4170888529418995,-0.0059874477400161386,0.9047619047619049,4,5
ITGAX,1.6472269158038075,1.7000960192973171,-0.052869103493509595,1.0,4,5
