gene,scope,control_mean,sALS_mean,C9-ALS_mean,p_C9_vs_ctrl,p_C9_vs_sALS
GPNMB,global,0.1167246475815773,0.30985477566719055,0.48935216665267944,0.0195804201066494,0.4126984179019928
CHIT1,global,0.005206875037401915,0.0413898304104805,0.06012533977627754,0.002797202905640006,0.4126984179019928
DAM_score,global,0.3358107364152729,0.5474632315850965,0.5598672980667692,0.002797202797202797,1.0
homeo_score,global,-0.014287415348489742,0.028609521114841763,-0.018881614758533984,0.8251748251748252,0.2857142857142857
GPNMB,ventral_horn_MN,0.12237571179866791,0.3469462990760803,0.6476067304611206,0.011188811622560024,0.2857142984867096
CHIT1,ventral_horn_MN,0.005453391000628471,0.05222885683178902,0.08008404076099396,0.00662219850346446,0.5555555820465088
DAM_score,ventral_horn_MN,0.3276466308701074,0.5844474721285555,0.6160931953959288,0.002797202797202797,0.9047619047619049
homeo_score,ventral_horn_MN,-0.03236023380693682,0.020310526722571914,-0.02826893894680306,0.9398601398601399,0.4126984126984127
