celltype,mean_C9,mean_ctrl,diff,p,p_fdr
other,0.019244249284774428,0.014086223835987895,0.005158025448786532,0.26220095693779905,1.0
other T,0.03876018520985766,0.046846528791897574,-0.008086343582039912,0.5380724538619276,1.0
Mono,0.12066822909426876,0.10149448608325964,0.019173743011009117,0.7119617224880384,1.0
NK,0.13161284871538098,0.14056579794671992,-0.008952949231338936,0.8374572795625428,1.0
CD8 T,0.2502913761418666,0.24331832313615168,0.006973053005714908,0.967053998632946,1.0
DC,0.007549727219028557,0.008021272264575609,-0.00047154504554705254,0.967053998632946,1.0
B,0.08696114075613831,0.09279470970041846,-0.005833568944280151,0.967053998632946,1.0
CD4 T,0.3449122435786848,0.3528726582409892,-0.007960414662304405,1.0,1.0
