module,n_genes,contrast,mean_C9,mean_other,diff,p
DAM_myeloid,11,C9vsCtrl,0.16250166362402493,-0.05317327346737179,0.21567493709139673,0.1662337662337662
DAM_myeloid,11,C9vsSALS,0.16250166362402493,0.017061792662033906,0.145439870961991,0.3863294600136705
complement,6,C9vsCtrl,-0.17316064431148545,-0.03078930438134614,-0.1423713399301393,0.3863294600136705
complement,6,C9vsSALS,-0.17316064431148545,0.06926944756167647,-0.24243009187316192,0.43417634996582366
myeloid_activation,10,C9vsCtrl,-0.019119589103558945,0.01681048673676759,-0.035930075840326536,1.0
myeloid_activation,10,C9vsSALS,-0.019119589103558945,-0.012561689158194741,-0.006557899945364204,0.967053998632946
