Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Inflammatory Response (GO:0006954),0.5405841466378846,2.0699605818416935,0.0,0.0038061879192463005,0.033,51/211,9.95%,CD44;LYZ;CCL2;CYBA;SERPINA3;TPST1;SLC11A1;CCL20;AIF1;ITGB2;CEBPB;FCGR2B;TMIGD3;TLR2;C3AR1;TNFRSF1A;CD14;CCL18;CCR1;C5AR1;STAT3;MAPKAPK2;OLR1;FPR1;FPR3;PXK;CYBB;ADORA3;ANXA1;TGFB1;GGT5;RIPK2;TLR6;SIGLEC1;MAP3K7;LGALS9;FPR2;CCR5;CD40;HP;ADM;RELA;NLRC4;IL10RB;IL1RL1;S100A9;CHUK;F11R;TLR1;ADGRE5;BMP2
prerank,Cellular Response To Copper Ion (GO:0071280),0.8641678678320844,2.0660452732039607,0.0,0.003926745907638717,0.036,5/15,2.04%,AQP1;MT1A;MT1M;MT1X;MT2A
prerank,Synaptic Vesicle Exocytosis (GO:0016079),-0.7470976081750637,-2.0657166260832867,0.0,0.0011882619079794207,0.005,17/38,12.25%,CPLX1;RAB3A;CPLX2;SNPH;SYT5;SNAP25;SYT2;RIMS1;STX1B;OTOF;PRRT2;PCLO;SYT1;SYT4;RIMS4;PIP5K1C;UNC13A
prerank,Vesicle-Mediated Transport In Synapse (GO:0099003),-0.873571336703969,-2.056656768487174,0.0,0.0012476750033783917,0.006,8/17,4.33%,CPLX1;RAB3A;CPLX2;SNAP25;RIMS1;OTOF;PCLO;BRSK1
prerank,Neurotransmitter Transport (GO:0006836),-0.6990853668690599,-2.043795450587049,0.0,0.001853688576447896,0.011,25/46,14.32%,SLC18A3;CHAT;PTPRN2;SNPH;SNAP25;SYN1;SLC22A2;SLC5A7;SLC6A15;SLC22A3;BRSK1;NRXN1;GABRA2;SYNJ1;SLC1A2;SYT1;LIN7A;SLC1A1;SLC6A16;UNC13A;STXBP1;SYN2;GRM4;HRH3;SYN3
prerank,Negative Regulation Of T Cell Activation (GO:0050868),0.6778205148204882,2.041191610119368,0.0,0.006045121989391183,0.055,21/44,15.02%,GPNMB;LAPTM5;VSIG4;CEBPB;FCGR2B;LILRB4;HAVCR2;CR1;PTPN22;CD86;JAK3;SPN;NCKAP1L;TNFAIP8L2;LGALS3;SDC4;DUSP3;VSIR;PAG1;DLG5;LILRB1
prerank,Negative Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043154),0.6693554223356615,2.0327299272348993,0.0,0.007164589024463624,0.069,14/41,12.87%,AQP1;CD44;SFN;VEGFA;HGF;PAK2;PIH1D1;DNAJB6;DDX3X;LAMTOR5;TRIAP1;BCL2L12;THBS1;SIAH2
prerank,Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),0.7814482507449199,2.0295980387228516,0.0,0.006884722265695514,0.069,12/22,12.23%,CD68;FCER1G;ITGB2;PPARG;LCP1;TLR6;TREM2;CD81;SYK;MYD88;TLR4;CD9
prerank,Positive Regulation Of Interleukin-8 Production (GO:0032757),0.6539022590742555,2.007105845448164,0.0,0.00956156549955991,0.099,23/52,12.14%,LILRA2;TLR2;FADD;CD14;CD74;HSPA1B;STAT3;RAB1A;BCL10;HYAL2;TLR8;CD58;TLR7;LGALS9;SYK;RELA;LAMTOR5;CLEC7A;PYCARD;TLR1;IL1B;MYD88;TLR4
prerank,Neurotransmitter Secretion (GO:0007269),-0.7068423592269294,-2.0058977208515256,0.0,0.004396569059523857,0.033,21/42,14.32%,CPLX1;RAB3A;PTPRN2;CPLX2;SNPH;SNAP25;SYN1;RIMS1;RPH3A;OTOF;PCLO;NRXN1;SYT1;LIN7A;PIP5K1C;UNC13A;STXBP1;SYN2;GRM4;HRH3;SYN3
prerank,Pattern Recognition Receptor Signaling Pathway (GO:0002221),0.6576227633147872,2.004306617086591,0.0,0.009552785365951498,0.102,26/49,17.94%,LY96;CTSS;TLR2;CD14;MAPKAPK2;MAPKAPK3;BCL10;TLR8;TLR6;ALPK1;TLR7;MAP3K7;NLRC4;PYCARD;TLR1;IPO5;CGAS;TLR4;MEFV;PLCG2;LACC1;NLRP3;TLR10;TLR5;TICAM1;TRAF3
prerank,Release Of Cytochrome C From Mitochondria (GO:0001836),0.7942061916794068,2.0002106795234313,0.0,0.009827742181583327,0.109,9/19,9.78%,SOD2;SFN;BAX;BCL2A1;GGCT;BID;BOK;MFF;CLU
prerank,Signal Release From Synapse (GO:0099643),-0.7218040462067602,-1.9977943059221852,0.0,0.004685146951461716,0.042,20/37,14.32%,CPLX1;RAB3A;PTPRN2;CPLX2;SNPH;SNAP25;SYN1;RIMS1;OTOF;PCLO;NRXN1;SYT1;LIN7A;PIP5K1C;UNC13A;STXBP1;SYN2;GRM4;HRH3;SYN3
prerank,Cilium Movement (GO:0003341),-0.7027068123089548,-1.9763223608683622,0.0,0.006683973232384242,0.066,20/39,20.42%,DNAH11;SPEF2;DNAI1;CFAP73;CCDC39;TEKT1;TTLL3;SPAG17;DNAH9;CAMSAP3;DNAAF1;NME5;SPAG6;CFAP54;ROPN1L;RSPH4A;TEKT2;RSPH9;DNAH7;CFAP53
prerank,Positive Regulation Of Interleukin-6 Production (GO:0032755),0.6078017138463957,1.9646422643353199,0.0,0.021090758940764794,0.218,27/68,12.78%,CYBA;LILRA2;AIF1;TYROBP;HSPD1;TLR2;CD74;XBP1;LCP1;STAT3;AKIRIN2;BCL10;HYAL2;TLR8;TLR6;TLR7;LGALS9;SYK;DHX9;CLEC7A;PYCARD;TLR1;IL1B;SCIMP;MYD88;TLR4;PLCG2
prerank,Negative Regulation Of Cysteine-Type Endopeptidase Activity (GO:2000117),0.6638174002974743,1.9638632725173188,0.0,0.02027834572102651,0.218,11/40,9.31%,AQP1;CD44;SFN;VEGFA;HGF;IFI16;LTF;DNAJB6;DDX3X;LAMTOR5;TRIAP1
prerank,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),0.5946539386802602,1.9598134909701888,0.0,0.020699963175794048,0.231,28/75,12.78%,CYBA;LILRA2;LY96;TYROBP;TLR2;FADD;CD14;FCGR3A;HAVCR2;LCP1;STAT3;CD84;BCL10;PTPRC;LGALS9;CD86;SPN;SYK;HSPB1;DHX9;CLEC7A;PYCARD;TLR1;CLU;IFNGR1;TLR4;THBS1;PLCG2
prerank,Synaptic Vesicle Cycle (GO:0099504),-0.7319809455841759,-1.958113620801787,0.0,0.00871392065851575,0.089,11/33,11.14%,CPLX1;RAB3A;CPLX2;SNAP25;RIMS1;OTOF;PCLO;BRSK1;GIT1;SYNDIG1;PIP5K1C
prerank,Regulation Of Interleukin-8 Production (GO:0032677),0.5950501672476954,1.953476581889465,0.0,0.021552174049133784,0.245,29/71,12.14%,LILRA2;TLR2;FADD;CD14;CD74;HSPA1B;STAT3;BCL3;RAB1A;BCL10;PTPN22;ANXA1;HYAL2;TLR8;PTPRC;CD33;CD58;TLR6;TLR7;LGALS9;SYK;RELA;LAMTOR5;CLEC7A;PYCARD;TLR1;IL1B;MYD88;TLR4
prerank,T Cell Activation Involved In Immune Response (GO:0002286),0.780709491108669,1.9468583510685733,0.002398081534772182,0.022837127515477805,0.269,5/19,7.30%,FCER1G;SLC11A1;CD74;LCP1;ICAM1
prerank,Superoxide Metabolic Process (GO:0006801),0.714247379958391,1.946717871537945,0.0,0.022031111250225645,0.271,7/27,3.89%,SOD2;CYBA;NCF2;PREX1;CYBB;NCF4;PRDX1
prerank,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),0.8376608169012607,1.9464968170331067,0.0,0.021235428526835694,0.271,6/15,3.10%,IFI30;FCER1G;CTSS;CTSD;FCGR2B;CTSL
prerank,Response To Hydrogen Peroxide (GO:0042542),0.668550501647105,1.944226039868337,0.0,0.02134450480204788,0.281,14/40,14.48%,AQP1;HMOX1;MAP3K5;FYN;ANXA1;ADAM9;RHOB;HP;RELA;CLU;TNFAIP3;PRDX3;NFE2L2;IL6
prerank,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),0.5945764104830626,1.942518391005702,0.0,0.02139781275609895,0.291,26/72,12.78%,CYBA;LILRA2;LY96;TYROBP;TLR2;FADD;CD14;FCGR3A;HAVCR2;LCP1;STAT3;CD84;PTPRC;LGALS9;SPN;SYK;HSPB1;DHX9;CLEC7A;PYCARD;TLR1;CLU;IFNGR1;TLR4;THBS1;PLCG2
prerank,Myeloid Leukocyte Differentiation (GO:0002573),0.5932255748754934,1.9343838348614848,0.0,0.023346678027993534,0.322,20/64,12.08%,SPI1;TYROBP;PPARG;SBNO2;VEGFA;LIF;BATF3;IFI16;CSF1;OSCAR;TREM2;UCP2;LGALS9;OSTM1;CD4;IL1RL1;BMP2;RUNX1;GAB2;CLPB
prerank,Toll-Like Receptor Signaling Pathway (GO:0002224),0.7034594243627891,1.9306026238645921,0.0022123893805309734,0.024314824001773424,0.345,20/29,17.94%,LY96;CTSS;HSPD1;TLR2;MAPKAPK2;MAPKAPK3;TLR8;BTK;TLR6;TLR7;MAP3K7;TLR1;IRAK3;SCIMP;TLR4;PLCG2;TLR10;TLR5;TICAM1;TRAF3
prerank,Regulation Of Interleukin-6 Production (GO:0032675),0.558066153200305,1.9290731524836284,0.0,0.02400715112632771,0.35,38/103,12.78%,CYBA;LILRA2;AIF1;TYROBP;HSPD1;TLR2;LILRB4;CD74;XBP1;LCP1;STAT3;MAPKAPK2;CD84;AKIRIN2;BCL10;PTPN6;PTPN22;HYAL2;TLR8;TLR6;TLR7;SELENOS;TREM2;LGALS9;NCKAP1L;SYK;DHX9;CLEC7A;PYCARD;TLR1;IRAK3;IL1B;SCIMP;MYD88;NMB;TNFAIP3;TLR4;PLCG2
prerank,Positive Regulation Of Defense Response (GO:0031349),0.5518440430447625,1.9273269860869386,0.0,0.023802667833227785,0.359,35/108,15.28%,PLA2G7;CYBA;PLSCR1;GPSM3;TLR2;FADD;TNFRSF1A;LCP1;AKIRIN2;NFKBIA;HYAL2;NINJ1;GRN;TLR8;TLR7;EMILIN1;FPR2;NPAS2;SLC15A4;CD1D;DHX9;NLRC4;S100A9;RIOK3;PYCARD;GPR4;IL1B;MGST2;TLR4;MEFV;EMILIN2;ADAM8;NLRP6;NLRP3;CASP4
prerank,Regulation Of Inflammatory Response To Antigenic Stimulus (GO:0002861),0.8003458855592105,1.9253101259980052,0.0,0.02401765638882692,0.368,7/15,7.77%,FGR;HCK;LYN;FYN;TREM2;SYK;RHBDF2
prerank,Fc-gamma Receptor Signaling Pathway (GO:0038094),0.7286105382069863,1.9241866931307297,0.0,0.023785381945186222,0.376,9/24,3.02%,FGR;FCER1G;HCK;MYO1G;FCGR2B;FCGR3A;PLPP4;LYN;FYN
prerank,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),0.847997006125411,1.9241755084455687,0.0,0.02246397183712032,0.376,6/13,3.10%,IFI30;FCER1G;CTSS;CTSD;FCGR2B;CTSL
prerank,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),0.847997006125411,1.9241755084455687,0.0,0.02246397183712032,0.376,6/13,3.10%,IFI30;FCER1G;CTSS;CTSD;FCGR2B;CTSL
